i f
0 0.002620373403209957 
1 0.004913200131018669 
2 0.01179168031444481 
3 0.02292826727808712 
4 0.03766786767114313 
5 0.05961349492302653 
6 0.08155912217490993 
7 .109728136259417 
8 .1162790697674418 
9 .1048149361283983 
10 .1015394693743858 
11 0.08188666885031116 
12 0.06976744186046512 
13 0.05764821487061906 
14 0.04192597445135932 
15 0.030789387487717 
16 0.01965280052407468 
17 0.01375696036685227 
18 0.008516213560432362 
19 0.003930560104814936 
20 0.003930560104814936
21 0.002620373403209957 
22 0.002620373403209957 
23 0.002620373403209957 
24 0.002620373403209957 
25 0.001310186701604979
26 0.001310186701604979 
27 0.0006550933508024893 
28 0.0006550933508024893 
29 0.0003275466754012447
