%****** TWOLOCSIM *******
% Wed Nov  7 09:46:10 2007
% Haploid population size C: 5000
% Initial mutants: 1
% Selection coefficient: 0.02
% Recombination rate: 0.001
% Fitnesses: [1.02, 1.02, 1.0, 1.0]
% The first locus to fix was # 22.
%  t     pA     pB      D   beta
   0  0.000  0.645  0.000  0.355
  10  0.001  0.617  0.001  0.383
  20  0.001  0.644  0.000  0.356
  30  0.005  0.617  0.002  0.345
  40  0.006  0.633  0.002  0.370
  50  0.009  0.670  0.003  0.333
  60  0.007  0.632  0.003  0.371
  70  0.011  0.590  0.004  0.377
  80  0.010  0.599  0.004  0.405
  90  0.007  0.586  0.003  0.417
 100  0.009  0.571  0.004  0.410
 110  0.006  0.568 -0.001 -0.225
 120  0.010  0.529 -0.005 -0.476
 130  0.008  0.530 -0.003 -0.318
 140  0.012  0.526 -0.002 -0.195
 150  0.020  0.478 -0.006 -0.296
 160  0.033  0.456 -0.004 -0.131
 170  0.049  0.447  0.004  0.077
 180  0.065  0.467 -0.005 -0.080
 190  0.077  0.460 -0.008 -0.112
 200  0.071  0.445 -0.004 -0.065
 210  0.097  0.472 -0.002 -0.022
 220  0.148  0.505  0.011  0.085
 230  0.181  0.484  0.018  0.124
 240  0.214  0.504  0.019  0.113
 250  0.295  0.561  0.028  0.132
 260  0.382  0.527  0.014  0.061
 270  0.444  0.549  0.014  0.057
 280  0.481  0.545  0.003  0.014
 290  0.531  0.516 -0.028 -0.112
 300  0.616  0.518 -0.007 -0.031
 310  0.640  0.490 -0.003 -0.015
 320  0.699  0.503  0.005  0.022
 330  0.767  0.535 -0.006 -0.035
 340  0.804  0.525 -0.011 -0.072
 350  0.856  0.539 -0.006 -0.047
 360  0.865  0.536 -0.005 -0.046
 370  0.890  0.538 -0.017 -0.177
 380  0.902  0.483 -0.009 -0.101
 390  0.913  0.472 -0.008 -0.106
 400  0.929  0.428 -0.003 -0.042
 410  0.934  0.418 -0.003 -0.051
 420  0.932  0.442 -0.011 -0.181
 430  0.944  0.427 -0.011 -0.207
 440  0.955  0.440  0.000  0.004
 450  0.959  0.439  0.000  0.010
 460  0.969  0.445  0.001  0.034
 470  0.980  0.437 -0.004 -0.230
 480  0.988  0.462 -0.003 -0.282
 490  0.988  0.478 -0.004 -0.309
 500  0.986  0.441 -0.008 -0.567
 510  0.988  0.429 -0.006 -0.512
 520  0.981  0.438 -0.010 -0.562
 530  0.978  0.454 -0.012 -0.549
 540  0.980  0.508 -0.010 -0.501
 550  0.976  0.490 -0.012 -0.523
 560  0.972  0.511 -0.013 -0.489
 570  0.970  0.517 -0.014 -0.484
 580  0.975  0.514 -0.011 -0.433
 590  0.977  0.558 -0.009 -0.389
 600  0.975  0.603 -0.009 -0.383
 610  0.980  0.581 -0.008 -0.427
 620  0.983  0.587 -0.007 -0.409
 630  0.995  0.586 -0.002 -0.416
 640  0.996  0.589 -0.001 -0.363
 650  0.994  0.553 -0.002 -0.380
 660  0.993  0.565 -0.002 -0.294
 670  0.992  0.569 -0.004 -0.435
 680  0.994  0.607 -0.002 -0.396
 690  0.995  0.641 -0.001 -0.249
 700  0.989  0.698 -0.003 -0.267
 710  0.993  0.678 -0.002 -0.266
 720  0.997  0.688 -0.001 -0.246
 730  0.996  0.698  0.000  0.013
 740  0.995  0.725 -0.000 -0.102
 750  0.997  0.702 -0.000 -0.084
 760  0.993  0.666 -0.000 -0.000
 770  0.994  0.637 -0.001 -0.097
 780  0.996  0.618 -0.001 -0.336
 790  0.990  0.642 -0.004 -0.362
 800  0.994  0.632 -0.002 -0.370
 810  0.999  0.607 -0.000 -0.394
 820  0.998  0.597 -0.001 -0.403
 830  1.000  0.586 -0.000 -0.415
