#****** TWOLOCSIM *******
# Wed Nov  7 10:05:18 2007
# Haploid population size C: 5000
# Initial mutants: 1
# Selection coefficient: 0.02
# Recombination rate: 0.001
# Fitnesses: [1.02, 1.02, 1.0, 1.0]
#Locus 2
#  t     pA     pB      D      d
   0  0.000  0.785  0.000  0.215
  10  0.001  0.790  0.000  0.210
  20  0.006  0.804  0.001  0.197
  30  0.014  0.804  0.003  0.199
  40  0.014  0.789  0.003  0.214
  50  0.016  0.795  0.003  0.208
  60  0.033  0.801  0.007  0.206
  70  0.049  0.812  0.009  0.198
  80  0.042  0.819  0.008  0.189
  90  0.055  0.858  0.008  0.150
 100  0.061  0.873  0.008  0.135
 110  0.082  0.877  0.010  0.133
 120  0.117  0.860  0.016  0.159
 130  0.154  0.873  0.020  0.150
 140  0.195  0.885  0.022  0.141
 150  0.201  0.887  0.021  0.133
 160  0.255  0.917  0.018  0.097
 170  0.272  0.913  0.020  0.103
 180  0.264  0.921  0.018  0.094
 190  0.342  0.914  0.026  0.116
 200  0.386  0.907  0.034  0.142
 210  0.403  0.935  0.025  0.103
 220  0.461  0.933  0.026  0.103
 230  0.498  0.928  0.035  0.139
 240  0.541  0.934  0.032  0.129
 250  0.574  0.943  0.033  0.133
 260  0.622  0.944  0.035  0.147
 270  0.655  0.946  0.034  0.151
 280  0.698  0.955  0.029  0.136
 290  0.751  0.969  0.023  0.122
 300  0.796  0.978  0.018  0.108
 310  0.808  0.984  0.013  0.081
 320  0.824  0.980  0.016  0.112
 330  0.883  0.976  0.021  0.203
 340  0.916  0.977  0.021  0.271
 350  0.926  0.981  0.018  0.260
 360  0.945  0.984  0.015  0.280
 370  0.956  0.988  0.012  0.283
 380  0.970  0.994  0.006  0.192
 390  0.977  0.993  0.007  0.327
 400  0.979  0.994  0.006  0.305
 410  0.978  0.995  0.005  0.236
 420  0.980  0.995  0.005  0.255
 430  0.996  0.999  0.001  0.167
 440  0.999  0.999  0.001  0.750
